,Date,ObservationSite,TempF,Precipitation,WaterTemp,pH,Conductivity,Turbidity
1,1/29/2013,North,31,0.11,32,8.8,640,NA
2,1/29/2013,West,31,0.11,36,8.5,370,NA
3,2/19/2013,North,38,0,30,8.7,399.51,95.6
4,2/19/2013,West,30,0,32,8.14,480,50
5,2/26/2013,North,39,0,33,7.9,399.51,90
6,2/26/2013,West,34,0,26,7.9,580,NA
7,3/19/2013,North,52,0,42,8.6,520,70
8,3/26/2013,North,45,0,42,8.7,520,56
9,3/26/2013,West,44,0,39,9.1,510,70.67
10,3/29/2013,West,42,0,40,8.9,540,72.2
11,5/7/2013,North,72,0,60,8.4,399.51,14.33
12,5/14/2013,North,92,0,71,8.5,620,35.5
13,5/14/2013,West,96,0,74,8.8,10,33.33
14,8/2/2013,NEGP,34,1.68,74.84,7.6,1360,8
15,8/2/2013,North,34,1.68,73.76,8.1,470,15
16,8/2/2013,North,34,1.68,69.26,8.1,500,NA
17,8/2/2013,West,34,1.68,69.08,7.1,440,NA
18,8/2/2013,WGP,34,1.68,78.44,7.7,550,8
19,8/10/2013,NEGP,46,0.3,85.64,8.3,160,10
20,8/10/2013,North,46,0.3,74.84,8,360,7
21,8/10/2013,West,46,0.3,76.64,7.9,370,8
22,8/10/2013,WGP,46,0.3,86.18,8.3,150,10
23,8/16/2013,NEGP,36,0.6,72.5,7.9,160,9
24,8/16/2013,North,36,0.6,67.1,8.2,410,9
25,8/16/2013,West,36,0.6,67.64,8.1,420,10
26,8/16/2013,WGP,36,0.6,71.96,7.9,160,10
27,8/23/2013,NEGP,30,0,79.52,7.8,170,11
28,8/23/2013,West,30,0,73.04,8,470,15
29,2/16/2016,North,40,0,38.9,8,530,NA
30,2/16/2016,West,44,0,37.5,8.6,560,NA
31,2/18/2016,North,55,0,41.25,8,515,NA
32,2/18/2016,West,68,0,40.5,8,530,NA
33,3/1/2016,North,40,0,57.93,9.4,610,NA
34,3/1/2016,West,40,0,41,8.2,620,NA
35,3/3/2016,North,51,0,46,8.2,600,NA
36,3/3/2016,West,49.8,0,45.2,8.4,610,NA
37,3/11/2016,North,60,0,60,7.7,300,NA
38,3/29/2016,North,61,0,51.3,8.8,650,NA
39,3/29/2016,North,61,0,57.93,8,423.11,NA
40,3/29/2016,West,62,0,52.3,8.5,640,NA
41,3/29/2016,West,62,0,57.93,8,423.11,NA
42,3/30/2016,NEGP,78,0.1,54.5,7.9,100,4.8
43,3/30/2016,WGP,78,0.1,56.5,8.1,100,4.9
44,8/23/2013,WGP,30,0,79.52,7.7,170,9
45,9/3/2013,North,86,0,72,7.8,490,17.2
46,9/3/2013,West,86,0,72,8.3,480,9
47,9/5/2013,West,82,0,72,8.4,510,13
48,9/19/2013,NEGP,80,0,75.74,7.1,140,5
49,9/19/2013,North,80,0,71.6,7.5,500,14.55
50,9/19/2013,WGP,80,0,75.92,7.1,140,5.7
51,9/24/2013,North,78,0,69.62,7.7,300,8.1
52,9/27/2013,NEGP,98,0,74.3,7.9,130,4.5
53,9/27/2013,West,98,0,71.6,8.3,310,5.3
54,9/27/2013,WGP,98,0,73.76,7.9,120,5.5
55,10/17/2013,NEGP,74,0,54.68,8.1,140,8.1
56,10/17/2013,North,74,0,48.92,8.1,420,10.9
57,10/17/2013,West,74,0,49.1,8.7,380,10.1
58,10/17/2013,WGP,74,0,53.24,8.3,130,6.2
59,10/25/2013,NEGP,53,0,51.98,8.1,140,6
60,10/25/2013,North,53,0,44.06,7.9,520,26.1
61,10/25/2013,West,53,0,45.5,8.1,530,25
62,10/25/2013,WGP,53,0,51.98,8.3,130,6
63,11/2/2013,NEGP,66,0,52.52,8.5,130,6.9
64,11/2/2013,North,66,0,48.86,8.1,550,44.1
65,11/2/2013,West,66,0,46.58,8.3,530,49.2
66,11/2/2013,WGP,66,0,49.46,8.5,530,5.5
67,11/7/2013,NEGP,60,1,46.4,8.3,130,8.4
68,11/7/2013,North,60,1,43.88,8.1,270,6.9
69,11/7/2013,WGP,60,1,45.32,8.4,130,6.2
70,11/12/2013,West,33,0,40,8.14,1410,11.6
71,11/13/2013,North,47,0,40,8.14,390,9.5
72,11/13/2013,West,39,0,42,8.8,380,11.87
73,11/16/2013,NEGP,66,0,47.84,8.3,130,13.1
74,11/16/2013,North,66,0,45.86,8,399.51,16.9
75,11/16/2013,West,66,0,45.14,8.5,430,17.7
76,11/16/2013,WGP,66,0,46.75,8.3,130,15.9
77,11/17/2013,West,58,0,43.88,8.3,250,5.2
78,11/21/2013,North,24,0,36,6.9,399.51,9.95
79,12/3/2013,West,50,0,34,8.14,650,55
80,12/12/2013,North,35,0,30,8.14,840,80
81,12/12/2013,West,40,0,0,7.9,870,58.67
82,1/4/2014,West,40,0,32,9.3,740,85
83,1/14/2014,North,32,0,57.93,8.08,730,114
84,1/16/2014,North,41,0,30,8.08,730,111
85,1/16/2014,West,40,0,32,8.7,720,70
86,2/18/2014,North,72,0,34,8.4,540,51.5
87,2/25/2014,West,0,0,-2.22,6.9,10,55.15
88,2/27/2014,North,29,0,30,8.4,600,NA
89,4/1/2014,North,52,0,43,8.4,580,46
90,4/1/2014,West,48,0,44,8.6,393,34
91,4/2/2014,North,41,0,41,7.5,650,51
92,4/2/2014,West,41,0,57.93,8.1,650,45
93,4/3/2014,North,42,0,41,8.4,640,62.5
94,4/3/2014,West,42,0,41,8.2,10,46
95,5/6/2014,North,82,0,68,8.3,600,26
96,5/6/2014,West,65,0,66,8.4,393,73.2
97,5/7/2014,West,80,0,62,8.6,500,12.5
98,5/8/2014,North,81,0.4,71,8.3,620,64.5
99,6/20/2014,NEGP,76,0,88.7,7.3,130,2
100,6/20/2014,North,76,0,79.52,7.8,490,11
101,6/20/2014,West,76,0,83.48,7.6,490,11
102,6/20/2014,WGP,76,0,89.24,7.6,130,2
103,7/2/2014,NEGP,73,0,72.68,8,120,3
104,7/2/2014,North,73,0,67.46,7.5,400,11
105,7/2/2014,West,73,0,67.64,8.2,390,12
106,7/2/2014,WGP,73,0,72.86,8,120,3.6
107,7/9/2014,NEGP,85,0,92.3,7.5,120,4
108,7/9/2014,North,85,0,75.02,7.6,460,16.2
109,7/9/2014,West,85,0,76.82,8,460,16.2
110,7/9/2014,WGP,85,0,85.26,8.6,120,3.4
111,7/27/2014,NEGP,99,0,82.94,7.6,130,7.6
112,7/27/2014,North,99,0,81.32,7.8,393,18.8
113,7/27/2014,West,99,0,81.14,8.4,570,16.8
114,7/27/2014,WGP,99,0,81.32,7.5,120,7.2
115,8/5/2014,NEGP,95,0,73.04,7.6,110,6.2
116,8/7/2014,NEGP,85,0.69,77.54,7.2,120,8.8
117,8/7/2014,North,85,0.69,73.22,7.9,540,13
118,8/7/2014,West,85,0.69,72.68,7.6,540,10
119,8/7/2014,WGP,85,0.69,77.54,7.6,130,6.6
120,3/31/2016,North,59,0.1,54.6,8.6,653,NA
121,3/31/2016,West,55,0.1,54.8,8.3,66,NA
122,4/14/2016,NEGP,66,0,71.3,8.1,100,8
123,4/14/2016,North,66,0,55.4,8.1,666,NA
124,4/14/2016,North,66,0,62.5,8.4,640,75
125,4/14/2016,West,60,0,49,8.4,670,NA
126,4/14/2016,West,66,0,65.2,8.4,650,75
127,4/14/2016,WGP,66,0,72,8,100,14.2
128,4/21/2016,NEGP,68,0.29,60.9,7.8,110,3.2
129,4/21/2016,North,68,0.29,56.7,8.1,620,14
130,4/21/2016,West,68,0.29,58.1,8,590,11.1
131,4/21/2016,WGP,68,0.29,59.4,7.9,110,3.2
132,4/26/2016,NEGP,77,0.03,67,7.9,110,3.5
133,4/26/2016,North,77,0.03,69,8.5,680,41.3
134,4/26/2016,West,77,0.03,69,8.2,600,42
135,4/26/2016,WGP,77,0.03,74.3,7.7,110,3
136,5/3/2016,NEGP,66,0,58.82,7.9,115,5
137,5/3/2016,North,66,0,60,8.1,5.2,NA
138,5/3/2016,North,66,0,61.7,8.3,510,14
139,5/3/2016,West,66,0,61.2,NA,510,NA
140,5/3/2016,West,66,0,60.98,8.1,390,11
141,5/3/2016,WGP,66,0,60.44,7.8,120,4
142,5/5/2016,North,80,0,65,8.1,590,NA
143,5/5/2016,West,80,0,64.3,8.1,600,NA
144,5/10/2016,NEGP,82,0.62,87.26,7.6,120,4.1
145,5/10/2016,North,82,0.62,60.62,7.6,230,1
146,5/10/2016,West,82,0.62,60.44,8,210,1.6
147,5/10/2016,WGP,82,0.62,77.36,7.7,130,4
148,5/11/2016,North,71,0.34,63.32,7.8,330,NA
149,5/17/2016,North,70,0.39,57.93,8,423.11,NA
150,6/10/2016,NEGP,95,0,79.7,7.2,130,8
151,6/10/2016,North,95,0,74.7,7.9,423.11,12
152,6/10/2016,West,95,0,72,8.1,423.11,11
153,6/10/2016,WGP,95,0,79.4,7.5,130,7
154,6/16/2016,NEGP,100,0,87.6,7.6,140,6
155,6/16/2016,North,100,0,84.7,8.2,630,20
156,6/16/2016,West,100,0,83.3,8.4,630,18
157,6/16/2016,WGP,100,0,86.5,8.1,140,6.5
158,7/9/2016,NEGP,92,0,97.04,7.8,140,6
159,7/9/2016,North,92,0,84.9,8.3,600,16
160,7/9/2016,West,92,0,84.8,8.5,650,13
161,7/9/2016,WGP,92,0,93.74,8.3,140,8
162,7/21/2016,NEGP,100,0,90,7.8,140,5
163,7/21/2016,North,100,0,57.93,8,423.11,NA
164,7/21/2016,North,100,0,81.1,8.2,680,12
165,7/21/2016,West,100,0,79.7,7.9,670,15
166,7/21/2016,WGP,100,0,88.3,7.9,140,5.8
167,8/5/2016,NEGP,81,0.17,82.94,7.9,140,5.2
168,8/5/2016,North,81,0.17,74.9,8.4,530,10
169,8/5/2016,West,81,0.17,76.1,8.2,490,9.5
170,8/5/2016,WGP,81,0.17,83.48,7.8,150,5.6
171,8/26/2016,NEGP,87,0.02,68.72,8,140,4
172,8/26/2016,North,87,0.02,67.64,8.1,310,7.6
173,8/26/2016,West,87,0.02,67.46,8.2,310,5.4
174,8/26/2016,WGP,87,0.02,69.08,8,140,3.6
175,9/2/2016,North,80,0,69.08,8.2,440,11
176,9/6/2016,NEGP,82,0,79.34,8,140,6.1
177,9/6/2016,North,82,0,73.76,8,470,5
178,9/6/2016,West,82,0,74.12,7.8,480,11
179,9/6/2016,WGP,82,0,78.8,8.2,140,5.1
180,9/10/2016,North,88,0.29,59.54,7.8,535,9.75
181,9/14/2016,North,61,0,60,7.09,450,NA
182,9/14/2016,West,62,0,61.3,6.9,440,NA
183,9/15/2016,NEGP,86,0.05,57.93,8,423.11,NA
184,9/15/2016,West,86,0.05,57.93,8,423.11,NA
185,8/21/2014,North,80,0,74,7.9,550,7.67
186,8/21/2014,West,80,0,74,5.5,580,7.15
187,8/22/2014,NEGP,89,0.46,82.58,7,120,8.4
188,8/22/2014,North,89,0.46,79.88,7.4,550,20.1
189,8/22/2014,West,89,0.46,79.52,7.9,590,17.8
190,8/22/2014,WGP,89,0.46,84.74,7.4,120,9
191,9/5/2014,North,66,0,69.08,7.8,540,24.2
192,9/5/2014,West,66,0,68.72,7.8,580,32.4
193,9/5/2014,WGP,66,0,72.86,8.8,110,6.2
194,9/12/2014,West,53,0.39,60.8,8.1,520,32.8
195,9/13/2014,NEGP,88,0.02,61.88,8.6,100,6.9
196,9/13/2014,North,88,0.02,57.02,8,500,39.9
197,9/13/2014,WGP,88,0.02,63.14,9.2,100,10.6
198,9/19/2014,NEGP,89,0,75.74,7.3,100,6.2
199,9/19/2014,North,89,0,71.24,8.3,780,54.2
200,9/19/2014,West,89,0,75.74,7.7,510,39.8
201,9/19/2014,West,89,0,69.98,7.6,500,16.25
202,9/19/2014,WGP,89,0,75.02,8.8,510,3.6
203,9/25/2014,North,60,0,64,8.2,530,48
204,9/25/2014,West,80,0,75,8.2,393,14.8
205,9/28/2014,NEGP,82,0,78.44,8.7,100,6.8
206,9/28/2014,WGP,82,0,76.82,8.4,100,6.2
207,10/5/2014,NEGP,74,0,57.38,8.2,90,8
208,10/5/2014,North,74,0,54.5,8.2,300,9.8
209,10/5/2014,West,74,0,54.86,8.6,350,14.4
210,10/5/2014,WGP,74,0,57.02,8.6,80,9.8
211,10/12/2014,NEGP,66,0,57.56,8.4,130,12.1
212,10/12/2014,North,66,0,52.52,8,260,7.9
213,10/12/2014,West,66,0,58.52,8.7,120,10.9
214,10/12/2014,WGP,66,0,52.52,7.9,280,9
215,10/19/2014,NEGP,72,0,51.62,8,450,21.4
216,10/19/2014,North,72,0,54.46,7.8,393,14.8
217,10/19/2014,West,72,0,52.88,8.3,460,22.8
218,10/19/2014,WGP,72,0,58.64,8.3,130,15
219,10/26/2014,NEGP,86,0,65.12,8,130,14.8
220,10/26/2014,North,86,0,60.62,8.1,540,20.8
221,10/26/2014,North,86,0,60.62,8.1,540,20.8
222,10/26/2014,West,86,0,62.78,8.4,550,40.2
223,10/26/2014,WGP,86,0,64.94,8.4,120,10.3
224,11/2/2014,NEGP,67,0,49.1,8.4,120,6.4
225,11/2/2014,North,67,0,74.84,8.2,600,60
226,11/2/2014,North,67,0,47.84,8.2,600,60
227,11/2/2014,West,67,0,47.3,8.1,590,32.7
228,11/2/2014,WGP,67,0,49.28,8.9,100,15.8
229,11/4/2014,North,16,0,44.06,8.05,625,72
230,11/6/2014,North,16,0,44.49,8.25,645,86
231,11/14/2014,West,13.33,0,10.74,8.6,10,31.5
232,12/3/2014,North,45,0,36,8.2,600,42.5
233,12/9/2014,North,38,0,32,8.4,740,60
234,12/9/2014,West,38,0,1.1,8.65,740,114
235,12/11/2014,North,41,0,32,8.6,700,91.1
236,12/11/2014,West,41,0,1.1,8.5,705,101
237,1/14/2015,North,40,0,32,8.8,890,120
238,1/14/2015,West,40,0,-0.6,8.65,855,80
239,1/15/2015,North,52,0,32,8.6,860,100
240,1/15/2015,West,52,0,0,8.43,816.7,120
241,2/24/2015,North,51,0,35.06,7.55,506.69,120
242,2/24/2015,West,51,0,-3.3,8.9,546.7,1
243,3/26/2015,North,66,0.02,42.08,8.3,540,79.67
244,3/26/2015,West,66,0.02,8.69,8.85,10,65.8
245,3/26/2015,West,66,0.02,6.1,8.8,583.3,95
246,3/27/2015,North,66,0.05,39.99,8.2,550,94.67
247,4/21/2015,North,72,0,51.08,8.4,630,68
248,4/21/2015,West,72,0,10,8.1,6.4,38
249,4/28/2015,North,76,0,60.08,8.5,660,58.6
250,4/28/2015,West,76,0,17.8,8.11,640,72.33
251,4/30/2015,North,81,0,62.9,8.6,650,95.03
252,4/30/2015,West,81,0,25.56,8.55,664.5,47
253,9/15/2016,WGP,86,0.05,57.93,8,423.11,NA
254,9/20/2016,North,91,0,72,7.2,540,17
255,9/20/2016,North,91,0,72,7.2,540,17
256,9/20/2016,West,90,0,76,8.3,530,31.7
257,9/20/2016,West,91,0,76,8.4,530,30.8
258,9/29/2016,NEGP,70,0,66.02,7.7,150,7
259,9/29/2016,North,70,0,59.36,7.1,580,35
260,9/29/2016,West,70,0,62.42,7.1,580,47
261,9/29/2016,WGP,70,0,68.54,7.1,160,13
262,10/1/2016,North,59,0,58.8,7.8,610,NA
263,10/11/2016,North,64,0.5,54,7.8,540,21.8
264,10/12/2016,North,42,0,45,7.5,460,15.1
265,10/12/2016,West,50,0,52,7.85,537.5,31.75
266,10/13/2016,North,62,0,49,8,550,16
267,10/13/2016,West,50,0,58,8,580,33.5
268,11/1/2016,North,75,0,58,7.59,609,30.7
269,11/1/2016,West,75,0,61,8,620,75
270,11/3/2016,North,78,0,58,8,540,41.95
271,11/3/2016,West,72,0,57.6,8.4,620,52.8
272,11/10/2016,North,72,0,47.7,7.9,650,75
273,11/10/2016,West,72,0,49.3,8,650,90
274,11/11/2016,West,55,0,49.2,8.1,650,85.4
275,11/15/2016,North,59,0,43,8.1,780,28.5
276,12/2/2016,North,40,0,43,8,690,66.1
277,12/2/2016,West,44,0,41.05,8.3,423.11,10.5
278,12/6/2016,North,38,0,33.9,8.2,700,79.4
279,12/6/2016,West,38,0,34.95,8.27,680,71
280,1/26/2017,North,38,0,32.1,8.1,510,37.67
281,1/26/2017,West,35,0,32.6,8.2,510,20
282,1/27/2017,North,38,0,32.6,8,550,43
283,1/27/2017,West,35,0,57.93,7.95,535,NA
284,2/15/2017,North,45,0,39,8.5,540,83.5
285,2/15/2017,West,47,0,38.4,8.7,590,44
286,2/16/2017,North,70,0,42.5,8.6,570,110.9
287,2/16/2017,West,62.5,0,44.5,8.9,522.24,38.1
288,3/28/2017,North,56,0,46.5,8.5,630,105.13
289,3/28/2017,West,52,0,49,9,630,91.3
290,3/31/2017,North,58,0,43.34,8,290,3.2
291,3/31/2017,West,58,0,43.34,7.5,270,3.2
292,4/4/2017,North,48,0.2,50.2,8,550,9.1
293,4/4/2017,West,58,0.2,51.7,8.5,545,25.5
294,5/3/2017,North,67,0,51,7.2,420,6.74
295,5/3/2017,North,67,0,51.46,7.66,410,6.74
296,5/9/2017,North,79.5,0.36,76,7.85,480,12
297,5/9/2017,West,77,0.36,70,6.05,500,9.2
298,5/10/2017,North,66,0.16,65,7.85,475,7.33
299,5/10/2017,North,66,0.16,68,6.8,470,7.83
300,5/10/2017,North,66,0.16,70,6.8,470,7.83
301,5/10/2017,West,76,0,67.7,7.85,522.24,8
302,5/11/2017,North,74,0.02,62,7.4,520,8
303,5/11/2017,West,74,0.02,60,8,530,15.25
304,5/23/2017,North,62,0.17,60,7.8,370,NA
305,9/19/2017,North,90,0,72,7.8,440,8
306,9/19/2017,West,90,0.25,75,7.7,522.24,NA
307,9/21/2017,North,91,0,73.5,7.9,440,9.03
308,5/13/2015,North,72,0,60.8,7.8,250,4.03
309,5/13/2015,North,72,0,15.08,8.3,245,90
310,5/13/2015,North,72,0,56.7,7.9,250,4
311,5/30/2015,NEGP,72,0.02,64.94,7.9,130,5.1
312,5/30/2015,North,72,0.02,63.5,8.1,590,9.6
313,5/30/2015,West,72,0.02,63.32,8.1,590,9.9
314,5/30/2015,WGP,72,0.02,64.94,8.3,130,7.2
315,7/12/2015,NEGP,91,0,80.6,7.16,130,20.8
316,7/12/2015,North,91,0,75.2,7.9,540,14.6
317,7/12/2015,West,91,0,74.12,8,540,14.5
318,7/12/2015,WGP,91,0,80.96,7.4,130,16.6
319,9/5/2015,North,62,0,62,7.6,660,NA
320,9/8/2015,North,80,0.4,76.65,8,630,NA
321,9/9/2015,North,82,0,72.5,8.11,640,NA
322,9/9/2015,West,80,0,73,8,6.55,NA
323,9/16/2015,North,90,0,22.6,7.8,480,NA
324,9/23/2015,North,80,0,21.4,8,570,NA
325,9/29/2015,North,78,0,67.6,8.1,590,NA
326,9/29/2015,West,78,0,66,8,58.5,NA
327,10/1/2015,North,68,0,60.8,8,620,NA
328,10/1/2015,North,59,0,58.8,7.8,610,NA
329,10/1/2015,West,58,0,58,7.9,630,NA
330,10/1/2015,West,61,0,62.2,8.15,620,NA
331,10/5/2015,West,59,0,59.8,8.1,660,NA
332,11/3/2015,North,78,0,55.8,8,630,NA
333,11/3/2015,West,70,0,58.5,8.11,630,NA
334,11/5/2015,West,59,0,60,8,665,45.1
335,12/11/2015,West,56,0,42.1,7,660,NA
336,9/21/2017,West,91,0,76.5,7,440,2.5
337,10/13/2017,West,70,0,58,8,430,6.67
338,10/13/2017,West,63,0,58,7.4,522.24,10.1
339,10/16/2017,North,72,0,52.7,7.9,480,12.3
340,10/16/2017,West,79,0,55.5,7.55,480,21
341,10/31/2017,North,34,0,38,8.3,640,36.5
342,10/31/2017,West,34,0,40,8.05,522.24,42.6
343,11/2/2017,North,58,0,44,8.1,620,39.67
344,11/2/2017,West,58,0,45,7.4,570,53.33
345,11/8/2017,North,44,0,38,8.1,660,61.73
346,11/8/2017,West,54,0,52,7.8,650,36.8
347,12/5/2017,North,50,0,34,8.4,690,52
348,12/5/2017,West,46,0,57.93,8.25,680,43.05
349,12/6/2017,North,42,0,42,7.85,600,74.4
350,12/6/2017,West,45,0,45,6.4,660,18
