Month ,Year,ObservationSite,TempF,Precipitation,WaterTemp,pH,Conductivity,Turbidity
1,2013,North,31,0.11,32,8.8,640,NA
1,2013,West,31,0.11,36,8.5,370,NA
2,2013,North,38,0,30,8.7,399.51,95.6
2,2013,West,30,0,32,8.14,480,50
2,2013,North,39,0,33,7.9,399.51,90
2,2013,West,34,0,26,7.9,580,NA
3,2013,North,52,0,42,8.6,520,70
3,2013,North,45,0,42,8.7,520,56
3,2013,West,44,0,39,9.1,510,70.67
3,2013,West,42,0,40,8.9,540,72.2
5,2013,North,72,0,60,8.4,399.51,14.33
5,2013,North,92,0,71,8.5,620,35.5
5,2013,West,96,0,74,8.8,10,33.33
8,2013,North,34,1.68,73.76,8.1,470,15
8,2013,North,34,1.68,69.26,8.1,500,NA
8,2013,West,34,1.68,69.08,7.1,440,NA
8,2013,North,46,0.3,74.84,8,360,7
8,2013,West,46,0.3,76.64,7.9,370,8
8,2013,North,36,0.6,67.1,8.2,410,9
8,2013,West,36,0.6,67.64,8.1,420,10
8,2013,West,30,0,73.04,8,470,15
2,2016,North,40,0,38.9,8,530,NA
2,2016,West,44,0,37.5,8.6,560,NA
2,2016,North,55,0,41.25,8,515,NA
2,2016,West,68,0,40.5,8,530,NA
3,2016,North,40,0,57.93,9.4,610,NA
3,2016,West,40,0,41,8.2,620,NA
3,2016,North,51,0,46,8.2,600,NA
3,2016,West,49.8,0,45.2,8.4,610,NA
3,2016,North,60,0,60,7.7,300,NA
3,2016,North,61,0,51.3,8.8,650,NA
3,2016,North,61,0,57.93,8,423.11,NA
3,2016,West,62,0,52.3,8.5,640,NA
3,2016,West,62,0,57.93,8,423.11,NA
9,2013,North,86,0,72,7.8,490,17.2
9,2013,West,86,0,72,8.3,480,9
9,2013,West,82,0,72,8.4,510,13
9,2013,North,80,0,71.6,7.5,500,14.55
9,2013,North,78,0,69.62,7.7,300,8.1
9,2013,West,98,0,71.6,8.3,310,5.3
10,2013,North,74,0,48.92,8.1,420,10.9
10,2013,West,74,0,49.1,8.7,380,10.1
10,2013,North,53,0,44.06,7.9,520,26.1
10,2013,West,53,0,45.5,8.1,530,25
11,2013,North,66,0,48.86,8.1,550,44.1
11,2013,West,66,0,46.58,8.3,530,49.2
11,2013,North,60,1,43.88,8.1,270,6.9
11,2013,West,33,0,40,8.14,1410,11.6
11,2013,North,47,0,40,8.14,390,9.5
11,2013,West,39,0,42,8.8,380,11.87
11,2013,North,66,0,45.86,8,399.51,16.9
11,2013,West,66,0,45.14,8.5,430,17.7
11,2013,West,58,0,43.88,8.3,250,5.2
11,2013,North,24,0,36,6.9,399.51,9.95
12,2013,West,50,0,34,8.14,650,55
12,2013,North,35,0,30,8.14,840,80
12,2013,West,40,0,0,7.9,870,58.67
1,2014,West,40,0,32,9.3,740,85
1,2014,North,32,0,57.93,8.08,730,114
1,2014,North,41,0,30,8.08,730,111
1,2014,West,40,0,32,8.7,720,70
2,2014,North,72,0,34,8.4,540,51.5
2,2014,West,0,0,-2.22,6.9,10,55.15
2,2014,North,29,0,30,8.4,600,NA
4,2014,North,52,0,43,8.4,580,46
4,2014,West,48,0,44,8.6,393,34
4,2014,North,41,0,41,7.5,650,51
4,2014,West,41,0,57.93,8.1,650,45
4,2014,North,42,0,41,8.4,640,62.5
4,2014,West,42,0,41,8.2,10,46
5,2014,North,82,0,68,8.3,600,26
5,2014,West,65,0,66,8.4,393,73.2
5,2014,West,80,0,62,8.6,500,12.5
5,2014,North,81,0.4,71,8.3,620,64.5
6,2014,North,76,0,79.52,7.8,490,11
6,2014,West,76,0,83.48,7.6,490,11
7,2014,North,73,0,67.46,7.5,400,11
7,2014,West,73,0,67.64,8.2,390,12
7,2014,North,85,0,75.02,7.6,460,16.2
7,2014,West,85,0,76.82,8,460,16.2
7,2014,North,99,0,81.32,7.8,393,18.8
7,2014,West,99,0,81.14,8.4,570,16.8
8,2014,North,85,0.69,73.22,7.9,540,13
8,2014,West,85,0.69,72.68,7.6,540,10
3,2016,North,59,0.1,54.6,8.6,653,NA
3,2016,West,55,0.1,54.8,8.3,66,NA
4,2016,North,66,0,55.4,8.1,666,NA
4,2016,North,66,0,62.5,8.4,640,75
4,2016,West,60,0,49,8.4,670,NA
4,2016,West,66,0,65.2,8.4,650,75
4,2016,North,68,0.29,56.7,8.1,620,14
4,2016,West,68,0.29,58.1,8,590,11.1
4,2016,North,77,0.03,69,8.5,680,41.3
4,2016,West,77,0.03,69,8.2,600,42
5,2016,North,66,0,60,8.1,5.2,NA
5,2016,North,66,0,61.7,8.3,510,14
5,2016,West,66,0,61.2,NA,510,NA
5,2016,West,66,0,60.98,8.1,390,11
5,2016,North,80,0,65,8.1,590,NA
5,2016,West,80,0,64.3,8.1,600,NA
5,2016,North,82,0.62,60.62,7.6,230,1
5,2016,West,82,0.62,60.44,8,210,1.6
5,2016,North,71,0.34,63.32,7.8,330,NA
5,2016,North,70,0.39,57.93,8,423.11,NA
6,2016,North,95,0,74.7,7.9,423.11,12
6,2016,West,95,0,72,8.1,423.11,11
6,2016,North,100,0,84.7,8.2,630,20
6,2016,West,100,0,83.3,8.4,630,18
7,2016,North,92,0,84.9,8.3,600,16
7,2016,West,92,0,84.8,8.5,650,13
7,2016,North,100,0,57.93,8,423.11,NA
7,2016,North,100,0,81.1,8.2,680,12
7,2016,West,100,0,79.7,7.9,670,15
8,2016,North,81,0.17,74.9,8.4,530,10
8,2016,West,81,0.17,76.1,8.2,490,9.5
8,2016,North,87,0.02,67.64,8.1,310,7.6
8,2016,West,87,0.02,67.46,8.2,310,5.4
9,2016,North,80,0,69.08,8.2,440,11
9,2016,North,82,0,73.76,8,470,5
9,2016,West,82,0,74.12,7.8,480,11
9,2016,North,88,0.29,59.54,7.8,535,9.75
9,2016,North,61,0,60,7.09,450,NA
9,2016,West,62,0,61.3,6.9,440,NA
9,2016,West,86,0.05,57.93,8,423.11,NA
8,2014,North,80,0,74,7.9,550,7.67
8,2014,West,80,0,74,5.5,580,7.15
8,2014,North,89,0.46,79.88,7.4,550,20.1
8,2014,West,89,0.46,79.52,7.9,590,17.8
9,2014,North,66,0,69.08,7.8,540,24.2
9,2014,West,66,0,68.72,7.8,580,32.4
9,2014,West,53,0.39,60.8,8.1,520,32.8
9,2014,North,88,0.02,57.02,8,500,39.9
9,2014,North,89,0,71.24,8.3,780,54.2
9,2014,West,89,0,75.74,7.7,510,39.8
9,2014,West,89,0,69.98,7.6,500,16.25
9,2014,North,60,0,64,8.2,530,48
9,2014,West,80,0,75,8.2,393,14.8
10,2014,North,74,0,54.5,8.2,300,9.8
10,2014,West,74,0,54.86,8.6,350,14.4
10,2014,North,66,0,52.52,8,260,7.9
10,2014,West,66,0,58.52,8.7,120,10.9
10,2014,North,72,0,54.46,7.8,393,14.8
10,2014,West,72,0,52.88,8.3,460,22.8
10,2014,North,86,0,60.62,8.1,540,20.8
10,2014,North,86,0,60.62,8.1,540,20.8
10,2014,West,86,0,62.78,8.4,550,40.2
11,2014,North,67,0,74.84,8.2,600,60
11,2014,North,67,0,47.84,8.2,600,60
11,2014,West,67,0,47.3,8.1,590,32.7
11,2014,North,16,0,44.06,8.05,625,72
11,2014,North,16,0,44.49,8.25,645,86
11,2014,West,13.33,0,10.74,8.6,10,31.5
12,2014,North,45,0,36,8.2,600,42.5
12,2014,North,38,0,32,8.4,740,60
12,2014,West,38,0,1.1,8.65,740,114
12,2014,North,41,0,32,8.6,700,91.1
12,2014,West,41,0,1.1,8.5,705,101
1,2015,North,40,0,32,8.8,890,120
1,2015,West,40,0,-0.6,8.65,855,80
1,2015,North,52,0,32,8.6,860,100
1,2015,West,52,0,0,8.43,816.7,120
2,2015,North,51,0,35.06,7.55,506.69,120
2,2015,West,51,0,-3.3,8.9,546.7,1
3,2015,North,66,0.02,42.08,8.3,540,79.67
3,2015,West,66,0.02,8.69,8.85,10,65.8
3,2015,West,66,0.02,6.1,8.8,583.3,95
3,2015,North,66,0.05,39.99,8.2,550,94.67
4,2015,North,72,0,51.08,8.4,630,68
4,2015,West,72,0,10,8.1,6.4,38
4,2015,North,76,0,60.08,8.5,660,58.6
4,2015,West,76,0,17.8,8.11,640,72.33
4,2015,North,81,0,62.9,8.6,650,95.03
4,2015,West,81,0,25.56,8.55,664.5,47
9,2016,North,91,0,72,7.2,540,17
9,2016,North,91,0,72,7.2,540,17
9,2016,West,90,0,76,8.3,530,31.7
9,2016,West,91,0,76,8.4,530,30.8
9,2016,North,70,0,59.36,7.1,580,35
9,2016,West,70,0,62.42,7.1,580,47
10,2016,North,59,0,58.8,7.8,610,NA
10,2016,North,64,0.5,54,7.8,540,21.8
10,2016,North,42,0,45,7.5,460,15.1
10,2016,West,50,0,52,7.85,537.5,31.75
10,2016,North,62,0,49,8,550,16
10,2016,West,50,0,58,8,580,33.5
11,2016,North,75,0,58,7.59,609,30.7
11,2016,West,75,0,61,8,620,75
11,2016,North,78,0,58,8,540,41.95
11,2016,West,72,0,57.6,8.4,620,52.8
11,2016,North,72,0,47.7,7.9,650,75
11,2016,West,72,0,49.3,8,650,90
11,2016,West,55,0,49.2,8.1,650,85.4
11,2016,North,59,0,43,8.1,780,28.5
12,2016,North,40,0,43,8,690,66.1
12,2016,West,44,0,41.05,8.3,423.11,10.5
12,2016,North,38,0,33.9,8.2,700,79.4
12,2016,West,38,0,34.95,8.27,680,71
1,2017,North,38,0,32.1,8.1,510,37.67
1,2017,West,35,0,32.6,8.2,510,20
1,2017,North,38,0,32.6,8,550,43
1,2017,West,35,0,57.93,7.95,535,NA
2,2017,North,45,0,39,8.5,540,83.5
2,2017,West,47,0,38.4,8.7,590,44
2,2017,North,70,0,42.5,8.6,570,110.9
2,2017,West,62.5,0,44.5,8.9,522.24,38.1
3,2017,North,56,0,46.5,8.5,630,105.13
3,2017,West,52,0,49,9,630,91.3
3,2017,North,58,0,43.34,8,290,3.2
3,2017,West,58,0,43.34,7.5,270,3.2
4,2017,North,48,0.2,50.2,8,550,9.1
4,2017,West,58,0.2,51.7,8.5,545,25.5
5,2017,North,67,0,51.46,7.66,410,6.74
5,2017,North,79.5,0.36,76,7.85,480,12
5,2017,West,77,0.36,70,6.05,500,9.2
5,2017,North,66,0.16,70,6.8,470,7.83
5,2017,West,76,0,67.7,7.85,522.24,8
5,2017,North,74,0.02,62,7.4,520,8
5,2017,West,74,0.02,60,8,530,15.25
5,2017,North,62,0.17,60,7.8,370,NA
9,2017,North,90,0,72,7.8,440,8
9,2017,West,90,0.25,75,7.7,522.24,NA
9,2017,North,91,0,73.5,7.9,440,9.03
5,2015,North,72,0,60.8,7.8,250,4.03
5,2015,North,72,0,15.08,8.3,245,90
5,2015,North,72,0,56.7,7.9,250,4
5,2015,North,72,0.02,63.5,8.1,590,9.6
5,2015,West,72,0.02,63.32,8.1,590,9.9
7,2015,North,91,0,75.2,7.9,540,14.6
7,2015,West,91,0,74.12,8,540,14.5
9,2015,North,62,0,62,7.6,660,NA
9,2015,North,80,0.4,76.65,8,630,NA
9,2015,North,82,0,72.5,8.11,640,NA
9,2015,West,80,0,73,8,6.55,NA
9,2015,North,90,0,22.6,7.8,480,NA
9,2015,North,80,0,21.4,8,570,NA
9,2015,North,78,0,67.6,8.1,590,NA
9,2015,West,78,0,66,8,58.5,NA
10,2015,North,68,0,60.8,8,620,NA
10,2015,North,59,0,58.8,7.8,610,NA
10,2015,West,58,0,58,7.9,630,NA
10,2015,West,61,0,62.2,8.15,620,NA
10,2015,West,59,0,59.8,8.1,660,NA
11,2015,North,78,0,55.8,8,630,NA
11,2015,West,70,0,58.5,8.11,630,NA
11,2015,West,59,0,60,8,665,45.1
12,2015,West,56,0,42.1,7,660,NA
9,2017,West,91,0,76.5,7,440,2.5
10,2017,West,70,0,58,8,430,6.67
10,2017,West,63,0,58,7.4,522.24,10.1
10,2017,North,72,0,52.7,7.9,480,12.3
10,2017,West,79,0,55.5,7.55,480,21
10,2017,North,34,0,38,8.3,640,36.5
10,2017,West,34,0,40,8.05,522.24,42.6
11,2017,North,58,0,44,8.1,620,39.67
11,2017,West,58,0,45,7.4,570,53.33
11,2017,North,44,0,38,8.1,660,61.73
11,2017,West,54,0,52,7.8,650,36.8
12,2017,North,50,0,34,8.4,690,52
12,2017,West,46,0,57.93,8.25,680,43.05
12,2017,North,42,0,42,7.85,600,74.4
12,2017,West,45,0,45,6.4,660,18
